Borough,Date,Neighborhood,Test Positive Rate,Total Positive Cases,Total Tested Cases,ZIPCODE,zcta_cum.perc_pos
Queens,2020-04-01,Southwest Queens,0.594501718,173,291,11417,
Queens,2020-04-01,Southwest Queens,0.595041322,216,363,11418,
Queens,2020-04-01,Southwest Queens,0.54491018,182,334,11419,
Queens,2020-04-01,Southwest Queens,0.571794872,223,390,11420,
Queens,2020-04-01,Southwest Queens,0.573863636,202,352,11421,
Queens,2020-04-01,Southeast Queens,0.6187683279999999,211,341,11422,
Queens,2020-04-01,Jamaica,0.6074074070000001,164,270,11423,
Queens,2020-04-01,Southeast Queens,0.5,101,202,11426,
Queens,2020-04-01,Southeast Queens,0.560371517,181,323,11427,
Queens,2020-04-01,Southeast Queens,0.65497076,112,171,11428,
Queens,2020-04-01,Jamaica,0.645045045,358,555,11434,
Queens,2020-04-01,Jamaica,0.660685155,405,613,11432,
Queens,2020-04-01,Jamaica,0.62,155,250,11433,
Queens,2020-04-01,Jamaica,0.566731141,293,517,11435,
Queens,2020-04-01,Jamaica,0.64516129,100,155,11436,
Queens,2020-04-01,Rockaways,0.628242075,436,694,11691,
Queens,2020-04-01,Rockaways,0.5978260870000001,110,184,11692,
Queens,2020-04-01,Rockaways,0.5972222220000001,86,144,11693,
Queens,2020-04-01,Rockaways,0.52962963,143,270,11694,
Queens,2020-04-01,Rockaways,0.403225806,25,62,11697,
Manhattan,2020-04-03,Chelsea and Clinton,0.447368421,136,304,10001,44.74
Manhattan,2020-04-03,Lower East Side,0.486943164,317,651,10002,48.69
Manhattan,2020-04-03,Lower East Side,0.436073059,191,438,10003,43.61
Manhattan,2020-04-03,Lower Manhattan,0.452380952,19,42,10004,45.24
Manhattan,2020-04-03,Lower Manhattan,0.29787234,28,94,10005,29.79
Manhattan,2020-04-03,Lower Manhattan,0.269230769,7,26,10006,26.92
Manhattan,2020-04-03,Lower Manhattan,0.373333333,28,75,10007,37.33
Manhattan,2020-04-03,Lower East Side,0.430656934,236,548,10009,43.07
Manhattan,2020-04-03,Gramercy Park and Murray Hill,0.35119047600000003,118,336,10010,35.12
Manhattan,2020-04-03,Chelsea and Clinton,0.464480874,255,549,10011,46.45
Manhattan,2020-04-03,Greenwich Village and Soho,0.368421053,77,209,10012,36.84
Manhattan,2020-04-03,Greenwich Village and Soho,0.452830189,120,265,10013,45.28
Manhattan,2020-04-03,Greenwich Village and Soho,0.469740634,163,347,10014,46.97
Manhattan,2020-04-03,Gramercy Park and Murray Hill,0.446293495,295,661,10016,44.63
Manhattan,2020-04-03,Gramercy Park and Murray Hill,0.34104046200000004,59,173,10017,34.1
Manhattan,2020-04-03,Chelsea and Clinton,0.45971564,97,211,10018,45.97
Manhattan,2020-04-03,Chelsea and Clinton,0.434615385,226,520,10019,43.46
Manhattan,2020-04-03,Upper East Side,0.383928571,258,672,10021,38.39
Manhattan,2020-04-03,Gramercy Park and Murray Hill,0.37,148,400,10022,37.0
Manhattan,2020-04-03,Upper West Side,0.396226415,231,583,10023,39.62
Manhattan,2020-04-03,Upper West Side,0.348837209,255,731,10024,34.88
Manhattan,2020-04-03,Upper West Side,0.366591928,327,892,10025,36.66
Manhattan,2020-04-03,Central Harlem,0.457300275,166,363,10026,45.73
Manhattan,2020-04-03,Central Harlem,0.444444444,224,504,10027,44.44
Manhattan,2020-04-03,Upper East Side,0.4,220,550,10028,40.0
Manhattan,2020-04-03,East Harlem,0.4622057,373,807,10029,46.22
Manhattan,2020-04-03,Central Harlem,0.546558704,135,247,10030,54.66
Manhattan,2020-04-03,Inwood and Washington Heights,0.5783132529999999,288,498,10031,57.83
Manhattan,2020-04-03,Inwood and Washington Heights,0.580597015,389,670,10032,58.06
Manhattan,2020-04-03,Inwood and Washington Heights,0.576728499,342,593,10033,57.67
Manhattan,2020-04-03,Inwood and Washington Heights,0.467692308,152,325,10034,46.77
Manhattan,2020-04-03,East Harlem,0.477876106,216,452,10035,47.79
Manhattan,2020-04-03,Chelsea and Clinton,0.453172205,150,331,10036,45.32
Manhattan,2020-04-03,Central Harlem,0.490291262,101,206,10037,49.03
Manhattan,2020-04-03,Lower Manhattan,0.46969697,93,198,10038,46.97
Manhattan,2020-04-03,Central Harlem,0.520295203,141,271,10039,52.03
Manhattan,2020-04-03,Inwood and Washington Heights,0.5939675170000001,256,431,10040,59.4
Manhattan,2020-04-03,Upper East Side,0.437037037,59,135,10044,43.7
Manhattan,2020-04-03,Upper East Side,0.343478261,158,460,10065,34.35
Manhattan,2020-04-03,Upper East Side,0.450839329,188,417,10075,45.08
Manhattan,2020-04-03,Upper East Side,0.386956522,267,690,10128,38.7
Manhattan,2020-04-03,Lower Manhattan,0.327586207,19,58,10280,32.76
Staten Islan,2020-04-03,Stapleton and St. George,0.5555555560000001,235,423,10301,55.56
Staten Islan,2020-04-03,Port Richmond,0.502673797,94,187,10302,50.27
Staten Islan,2020-04-03,Port Richmond,0.493150685,144,292,10303,49.32
Staten Islan,2020-04-03,Stapleton and St. George,0.5637181410000001,376,667,10304,56.37
Staten Islan,2020-04-03,Stapleton and St. George,0.459893048,258,561,10305,45.99
Staten Islan,2020-04-03,South Shore,0.458823529,351,765,10306,45.88
Staten Islan,2020-04-03,South Shore,0.5,93,186,10307,50.0
Staten Islan,2020-04-03,South Shore,0.452088452,184,407,10308,45.21
Staten Islan,2020-04-03,South Shore,0.474613687,215,453,10309,47.46
Staten Islan,2020-04-03,Port Richmond,0.479553903,129,269,10310,47.96
Staten Islan,2020-04-03,South Shore,0.521197007,418,802,10312,52.12
Staten Islan,2020-04-03,Mid-Island,0.508210181,619,1218,10314,50.82
Bronx,2020-04-03,High Bridge and Morrisania,0.539325843,336,623,10451,53.93
Bronx,2020-04-03,High Bridge and Morrisania,0.617718447,509,824,10452,61.77
Bronx,2020-04-03,Central Bronx,0.623668639,527,845,10453,62.37
Bronx,2020-04-03,Hunts Point and Mott Haven,0.5555555560000001,245,441,10454,55.56
Bronx,2020-04-03,Hunts Point and Mott Haven,0.539351852,233,432,10455,53.94
Bronx,2020-04-03,High Bridge and Morrisania,0.564334086,500,886,10456,56.43
Bronx,2020-04-03,Central Bronx,0.574697174,427,743,10457,57.47
Bronx,2020-04-03,Bronx Park and Fordham,0.56625,453,800,10458,56.62
Bronx,2020-04-03,Hunts Point and Mott Haven,0.578651685,309,534,10459,57.87
Bronx,2020-04-03,Central Bronx,0.553054662,344,622,10460,55.31
Bronx,2020-04-03,Southeast Bronx,0.524822695,444,846,10461,52.48
Bronx,2020-04-03,Southeast Bronx,0.535960591,544,1015,10462,53.6
Bronx,2020-04-03,Kingsbridge and Riverdale,0.419230769,327,780,10463,41.92
Bronx,2020-04-03,Southeast Bronx,0.4166666670000001,30,72,10464,41.67
Bronx,2020-04-03,Southeast Bronx,0.483229814,389,805,10465,48.32
Bronx,2020-04-03,Northeast Bronx,0.57367829,510,889,10466,57.37
Bronx,2020-04-03,Bronx Park and Fordham,0.578146611,836,1446,10467,57.81
Bronx,2020-04-03,Bronx Park and Fordham,0.6645728639999999,529,796,10468,66.46
Bronx,2020-04-03,Northeast Bronx,0.610366399,683,1119,10469,61.04
Bronx,2020-04-03,Northeast Bronx,0.534653465,108,202,10470,53.47
Bronx,2020-04-03,Kingsbridge and Riverdale,0.379008746,130,343,10471,37.9
Bronx,2020-04-03,Southeast Bronx,0.613235294,417,680,10472,61.32
Bronx,2020-04-03,Southeast Bronx,0.575,437,760,10473,57.5
Bronx,2020-04-03,Hunts Point and Mott Haven,0.591666667,71,120,10474,59.17
Bronx,2020-04-03,Northeast Bronx,0.593080725,360,607,10475,59.31
Queens,2020-04-03,Southeast Queens,0.697201018,274,393,11429,69.72
Queens,2020-04-03,Southeast Queens,0.624548736,173,277,11004,62.45
Queens,2020-04-03,Northwest Queens,0.482014388,201,417,11101,48.2
Queens,2020-04-03,Northwest Queens,0.5168918920000001,153,296,11102,51.69
Queens,2020-04-03,Northwest Queens,0.53030303,140,264,11103,53.03
Queens,2020-04-03,Northwest Queens,0.581196581,136,234,11104,58.12
Queens,2020-04-03,Northwest Queens,0.451827243,136,301,11105,45.18
Queens,2020-04-03,Northwest Queens,0.514124294,182,354,11106,51.41
Brooklyn,2020-04-03,Northwest Brooklyn,0.4322344320000001,236,546,11201,43.22
Brooklyn,2020-04-03,Flatbush,0.63229308,466,737,11203,63.23
Brooklyn,2020-04-03,Borough Park,0.6080273270000001,712,1171,11204,60.8
Brooklyn,2020-04-03,Northwest Brooklyn,0.587378641,242,412,11205,58.74
Brooklyn,2020-04-03,Bushwick and Williamsburg,0.574022346,411,716,11206,57.4
Brooklyn,2020-04-03,East New York and New Lots,0.600250627,479,798,11207,60.03
Brooklyn,2020-04-03,East New York and New Lots,0.6549118389999999,520,794,11208,65.49
Brooklyn,2020-04-03,Southwest Brooklyn,0.481848185,292,606,11209,48.18
Brooklyn,2020-04-03,Flatbush,0.610011641,524,859,11210,61.0
Brooklyn,2020-04-03,Greenpoint,0.643265306,788,1225,11211,64.33
Brooklyn,2020-04-03,Central Brooklyn,0.625,395,632,11212,62.5
Brooklyn,2020-04-03,Central Brooklyn,0.64507772,498,772,11213,64.51
Brooklyn,2020-04-03,Southwest Brooklyn,0.5021707670000001,347,691,11214,50.22
Brooklyn,2020-04-03,Northwest Brooklyn,0.411764706,203,493,11215,41.18
Brooklyn,2020-04-03,Central Brooklyn,0.53030303,210,396,11216,53.03
Brooklyn,2020-04-03,Northwest Brooklyn,0.501557632,161,321,11217,50.16
Brooklyn,2020-04-03,Borough Park,0.582943925,499,856,11218,58.29
Brooklyn,2020-04-03,Borough Park,0.69737727,1037,1487,11219,69.74
Brooklyn,2020-04-03,Sunset Park,0.614678899,402,654,11220,61.47
Brooklyn,2020-04-03,Bushwick and Williamsburg,0.591872792,335,566,11221,59.19
Brooklyn,2020-04-03,Greenpoint,0.450171821,131,291,11222,45.02
Brooklyn,2020-04-03,Southern Brooklyn,0.5524475520000001,474,858,11223,55.24
Brooklyn,2020-04-03,Southern Brooklyn,0.49744898,195,392,11224,49.74
Brooklyn,2020-04-03,Flatbush,0.654916512,353,539,11225,65.49
Brooklyn,2020-04-03,Flatbush,0.617048346,485,786,11226,61.7
Brooklyn,2020-04-03,Southwest Brooklyn,0.526666667,158,300,11228,52.67
Brooklyn,2020-04-03,Southern Brooklyn,0.5209359610000001,423,812,11229,52.09
Brooklyn,2020-04-03,Borough Park,0.635682159,848,1334,11230,63.57
Brooklyn,2020-04-03,Northwest Brooklyn,0.485804416,154,317,11231,48.58
Brooklyn,2020-04-03,Sunset Park,0.635135135,141,222,11232,63.51
Brooklyn,2020-04-03,Central Brooklyn,0.612576065,302,493,11233,61.26
Brooklyn,2020-04-03,Canarsie and Flatlands,0.566702241,531,937,11234,56.67
Brooklyn,2020-04-03,Southern Brooklyn,0.50059453,421,841,11235,50.06
Brooklyn,2020-04-03,Canarsie and Flatlands,0.631256384,618,979,11236,63.13
Brooklyn,2020-04-03,Bushwick and Williamsburg,0.667613636,235,352,11237,66.76
Brooklyn,2020-04-03,Central Brooklyn,0.544086022,253,465,11238,54.41
Brooklyn,2020-04-03,Canarsie and Flatlands,0.684491979,128,187,11239,68.45
Queens,2020-04-03,North Queens,0.536130536,230,429,11357,53.61
Queens,2020-04-03,North Queens,0.620967742,308,496,11355,62.1
Queens,2020-04-03,North Queens,0.557065217,205,368,11354,55.71
Queens,2020-04-03,North Queens,0.5243055560000001,151,288,11356,52.43
Queens,2020-04-03,North Queens,0.49375,158,320,11358,49.38
Queens,2020-04-03,North Queens,0.436548223,86,197,11360,43.65
Queens,2020-04-03,Northeast Queens,0.515283843,118,229,11361,51.53
Queens,2020-04-03,Northeast Queens,0.455958549,88,193,11362,45.6
Queens,2020-04-03,Northeast Queens,0.428571429,33,77,11363,42.86
Queens,2020-04-03,Northeast Queens,0.537906137,149,277,11364,53.79
Queens,2020-04-03,Central Queens,0.54784689,229,418,11365,54.78
Queens,2020-04-03,Central Queens,0.612903226,152,248,11366,61.29
Queens,2020-04-03,Central Queens,0.63866878,403,631,11367,63.87
Queens,2020-04-03,West Queens,0.775700935,1245,1605,11368,77.57
Queens,2020-04-03,West Queens,0.7447833070000001,464,623,11369,74.48
Queens,2020-04-03,West Queens,0.5472103,510,932,11370,54.72
